Symbol	Name	GeneID	Chr	Chr Band	Cancer Somatic Mut	Cancer Germline Mut	Tumour Types  (Somatic Mutations)	Tumour Types (Germline Mutations)	Cancer Syndrome	Tissue Type	Cancer Molecular Genetics	Mutation Type 	Translocation Partner	Other Germline Mut	Other Syndrome/Disease
HEAB	ATP_GTP binding protein	10978	11	11q12	yes		AML			L	Dom	T	MLL		
HEI10	enhancer of invasion 10 - fused to HMGA2	57820	14	14q11.1	yes		uterine leiomyoma			M	Dom	T	HMGA2		
HERPUD1	"homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1"	9709	16	16q12.2-q13	yes		prostate			E	Dom	T	ERG		
HIP1	huntingtin interacting protein 1	3092	7	7q11.23	yes		CMML			L	Dom	T	PDGFRB		
HIST1H4I	"histone 1, H4i (H4FM)"	8294	6	6p21.3 	yes		NHL			L	Dom	T	BCL6		
HLF	hepatic leukemia factor	3131	17	17q22	yes		ALL			L	Dom	T	TCF3		
HLXB9	homeo box HB9	3110	7	7q36	yes		AML			L	Dom	T	ETV6	yes	CURRARINO SYNDROME
HMGA1	high mobility group AT-hook 1	3159	6	6p21	yes		"microfollicular thyroid adenoma,  various benign mesenchymal tumors,"			"E, M"	Dom	T	?		
HMGA2	high mobility group AT-hook 2 (HMGIC)	8091	12	12q15 	yes		"lipoma, leiomyoma, pleiomorphic salivary gland adenoma"			M	Dom	T	" LHFP, RAD51L1, LPP, HEI10, COX6C, CMKOR1, NFIB, ALDH2, CCNB1IP1, EBF1, WIF1, FHIT"		
HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1	3181	7	7p15	yes		prostate			E	Dom	T	ETV1		
HOOK3	hook homolog 3	84376	8	8p11.21	yes		papillary thyroid			E	Dom	T	RET		
HOXA11	homeo box A11	3207	7	7p15-p14.2	yes		CML			L	Dom	T	NUP98		
HOXA13	homeo box A13	3209	7	7p15-p14.2	yes		AML			L	Dom	T	NUP98		
HOXA9	homeo box A9	3205	7	7p15-p14.2 	yes		AML*			L	Dom	T	"NUP98, MSI2"		
HOXC11	homeo box C11	3227	12	12q13.3	yes		AML			L	Dom	T	NUP98		
HOXC13	homeo box C13	3229	12	12q13.3	yes		AML			L	Dom	T	NUP98		
HOXD11	homeo box D11	3237	2	2q31-q32	yes		AML			L	Dom	T	NUP98		
HOXD13	homeo box D13	3239	2	2q31-q32 	yes		AML*			L	Dom	T	NUP98		
HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	3265	11	11p15.5 	yes	yes	"infrequent sarcomas, rare other types"	"rhadomyosarcoma, ganglioneuroblastoma, bladder"	Costello syndrome	"E, L, M"	Dom	Mis			
HRPT2	hyperparathyroidism 2 	79577	1	1q21-q31	yes	yes	parathyroid adenoma	"parathyroid adenoma, mulitiple ossifying jaw fibroma "	Hyperparathyroidism-jaw tumor syndrome 	"E, M"	Rec	"Mis, N, F"			
HSPCA	"heat shock 90kDa protein 1, alpha"	3320	14	14q32.31	yes		NHL			L	Dom	T	BCL6		
HSPCB	"heat shock 90kDa protein 1, beta"	3326	6	6p12	yes		NHL			L	Dom	T	BCL6		
IDH1	"isocitrate dehydrogenase 1 (NADP+), soluble"	3417	2	2q33.3	yes		gliobastoma 			O	Dom	Mis			
IDH2	"socitrate dehydrogenase 2 (NADP+), mitochondrial "	3418	15	15q26.1	yes		GBM			M	Dom	M			
IGH@	immunoglobulin heavy locus	3492	14	14q32.33	yes		"MM, Burkitt lymphoma, NHL, CLL, B-ALL, MALT, MLCLS"			L	Dom	T	"MYC, FGFR3,PAX5, IRTA1, IRF4, CCND1, BCL9, BCL8, BCL6, BCL2, BCL3, BCL10, BCL11A. LHX4, DDX6, NFKB2, PAFAH1B2, PCSK7, CRLF2"		
IGK@	immunoglobulin kappa locus	50802	2	2p12	yes		"Burkitt lymphoma, B-NHL"			L	Dom	T	"MYC, FVT1"		
IGL@	immunoglobulin lambda locus	3535	22	22q11.1-q11.2	yes		Burkitt lymphoma			L	Dom	T	"BCL9, MYC, CCND2"		
IKZF1	IKAROS family zinc finger 1	10320	7	7p12.2	yes		ALL			L	Rec?	D			
IL2	interleukin 2	3558	4	4q26-q27	yes		intestinal T-cell lymphoma			L	Dom	T	TNFRSF17		
IL21R	interleukin 21 receptor	50615	16	16p11 	yes		NHL			L	Dom	T	BCL6		
IL6ST	"interleukin 6 signal transducer (gp130, oncostatin M receptor)"	3572	5	5q11	yes		hepatocellular ca			E	Dom	O			
IL7R	interleukin 7 receptor	3575	5	5p13	yes		ALL			L	Dom	"Mis, O"		yes	Severe combined immune deficiency
IRF4	interferon regulatory factor 4	3662	6	6p25-p23	yes		MM 			L	Dom	T	IGH@		
IRTA1	immunoglobulin superfamily receptor translocation associated 1	83417	1	1q21	yes		B-NHL			L	Dom	T	IGH@		
ITK	IL2-inducible T-cell kinase	3702	5	5q31-q32	yes		peripheral T-cell lymphoma			L	Dom	T	SYK		
JAK1	Janus kinase 1	3716	1	1p32.3-p31.3	yes		ALL			L 	Dom	Mis			
JAK2	Janus kinase 2 	3717	9	9p24 	yes		"ALL, AML, MPD,  CML"			L	Dom	"T, Mis, O"	"ETV6, PCM1, BCR"		
JAK3	Janus kinase 3	3718	19	19p13.1	yes		"acute megakaryocytic leukemia, "			L	Dom	Mis			
JAZF1	juxtaposed with another zinc finger gene 1	221895	7	7p15.2-p15.1	yes		endometrial stromal tumours			M	Dom	T	SUZ12		
JUN	jun oncogene	3725	1	1p32-p31	yes		sarcoma			M	Dom	A			
KDM5A	"lysine (K)-specific demethylase 5A, JARID1A"	5927	12	12p11	yes		AML			L	Dom	T 	NUP98		
KDM5C	lysine (K)-specific demethylase 5C (JARID1C)	8242	X	Xp11.22-p11.21	yes		clear cell renal carcinoma			E	Rec	"N, F, S"			
KDM6A	"lysine (K)-specific demethylase 6A, UTX"	7403	X	Xp11.2	yes		"renal, oesophageal SCC, MM"			"E, L"	Rec	"D, N, F, S"			
KDR	vascular endothelial growth factor receptor 2	3791	4	4q11-q12	yes		"NSCLC, angiosarcoma"			E	Dom	Mis			
KIAA1549	KIAA1549	57670	7	7q34	yes		pilocytic astrocytoma			O	Dom	O	BRAF		
KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog 	3815	4	4q12	yes	yes	"GIST, AML, TGCT, mastocytosis, mucosal melanoma"	"GIST, epithelioma"	Familial gastrointestinal stromal tumour	"L, M, O, E"	Dom	"Mis, O"		yes	Piebald trait
KLK2	kallikrein-related peptidase 2	3817	19	19q13.41	yes		prostate			E	Dom	T	ETV4		
KRAS	v-Ki-ras2 Kirsten rat sarcoma 2 viral oncogene homolog	3845	12	12p12.1 	yes		"pancreatic, colorectal, lung, thyroid, AML, others"			"L, E, M, O"	Dom	Mis			
KTN1	kinectin 1 (kinesin receptor)	3895	14	14q22.1	yes		papillary thryoid			E	Dom	T	RET		
LAF4	lymphoid nuclear protein related to AF4	3899	2	2q11.2-q12 	yes		"ALL, T-ALL"			L	Dom	T	"MLL, RUNX1"		
LASP1	LIM and SH3 protein 1	3927	17	17q11-q21.3	yes		AML			L	Dom	T	MLL		
LCK	lymphocyte-specific protein tyrosine kinase	3932	1	1p35-p34.3 	yes		T-ALL			L	Dom	T	TRB@		
LCP1	lymphocyte cytosolic protein 1 (L-plastin)	3936	13	 13q14.1-q14.3 	yes		NHL 			L	Dom	T	BCL6		
LCX	leukemia-associated protein with a CXXC domain	80312	10	10q21	yes		AML			L	Dom	T	MLL		
LHFP	lipoma HMGIC fusion partner	10186	13	13q12	yes		lipoma			M	Dom	T	HMGA2		
LIFR	leukemia inhibitory factor receptor	3977	5	5p13-p12	yes		salivary adenoma			E	Dom	T	PLAG1		
LMO1	LIM domain only 1 (rhombotin 1) (RBTN1)	4004	11	11p15 	yes	yes	"T-ALL, neuroblastoma"	neuroblastoma		L	Dom	"T, A"	TRD@		
LMO2	LIM domain only 2 (rhombotin-like 1) (RBTN2)	4005	11	11p13	yes		T-ALL			L	Dom	T	TRD@		
LPP	LIM domain containing preferred translocation partner in lipoma	4026	3	3q28 	yes		"lipoma, leukemia"			"L, M"	Dom	T	"HMGA2, MLL, C12orf9"		
LYL1	lymphoblastic leukemia derived sequence 1	4066	19	19p13.2-p13.1	yes		T-ALL			L	Dom	T	TRB@		
MADH4	Homolog of Drosophila Mothers Against Decapentaplegic 4 gene	4089	18	18q21.1 	yes	yes	"colorectal, pancreatic, small intestine "	gastrointestinal polyps	Juvenile polyposis	E	Rec	"D, Mis, N, F"			
MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog	4094	16	16q22-q23	yes		MM			L	Dom	T	IGH@		
MAFB	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	9935	20	20q11.2-q13.1	yes		MM			L	Dom	T	IGH@		
MALT1	mucosa associated lymphoid tissue lymphoma translocation gene 1	10892	18	18q21	yes		MALT			L	Dom	T	BIRC3		
MAML2	mastermind-like 2 (Drosophila)	84441	11	11q22-q23	yes		salivary gland mucoepidermoid			E	Dom	T	"MECT1, CRTC3"		
MAP2K4	mitogen-activated protein kinase kinase 4	6416	17	17p11.2 	yes		"pancreatic, breast, colorectal"			E	Rec	"D, Mis, N"			
MDM2	Mdm2 p53 binding protein homolog	4193	12	12q15 	yes		"sarcoma, glioma, colorectal, other"			"M, O, E, L"	Dom	A			
MDM4	Mdm4 p53 binding protein homolog	4194	1	1q32	yes		"GBM, bladder, retinoblastoma"			M	Dom	A			
MDS1	myelodysplasia syndrome 1	2122	3	 3q26 	yes		"MDS, AML"			L	Dom	T	RUNX1		
MDS2	myelodysplastic syndrome 2	259283	1	1p36	yes		MDS			L	Dom	T	ETV6		
MECT1	mucoepidermoid translocated 1	23373	19	19p13	yes		salivary gland mucoepidermoid			E	Dom	T	MAML2		
MED12	mediator complex subunit 12	9968	X	Xq13	yes		uterine leiomyoma			M	Dom	"M, S"		Yes	Opitz-Kaveggia Syndrome
MEN1	multiple endocrine neoplasia type 1 gene	4221	11	11q13 	yes	yes	"parathyroid tumors, Pancreatic neuroendocrine tumors"	"parathyroid adenoma, pituitary adenoma, pancreatic islet cell, carcinoid"	Multiple Endocrine Neoplasia Type 1	E	Rec	"D, Mis, N, F, S"			
MET	met proto-oncogene (hepatocyte growth factor receptor)	4233	7	7q31	yes		"papillary renal, head-neck squamous cell "	papillary renal	Familial Papillary Renal Cancer	E	Dom	Mis			
MHC2TA	MHC class II transactivator	4261	16	16p13 	yes		NHL			L	Dom	T	BCL6		
MITF	microphthalmia-associated transcription factor	4286	3	3p14.1	yes		melanoma 			E	Dom	A		yes	"Waardenburg syndrome type 2, Tietz syndrome"
MKL1	megakaryoblastic leukemia (translocation) 1	57591	22	22q13	yes		acute megakaryocytic leukemia			L	Dom	T	RBM15		
MLF1	myeloid leukemia factor 1	4291	3	3q25.1	yes		AML			L	Dom	T	NPM1		
MLH1	E.coli MutL homolog gene	4292	3	3p21.3 	yes	yes	"colorectal, endometrial, ovarian, CNS"	"colorectal, endometrial, ovarian, CNS"	"Hereditary non-polyposis colorectal cancer, Turcot syndrome"	"E, O"	Rec	"D, Mis, N, F, S"			
MLL	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)"	4297	11	11q23 	yes		"AML, ALL"			L	Dom	"T, O"	"MLL, MLLT1, MLLT2, MLLT3, MLLT4, MLLT7, MLLT10, MLLT6, ELL, EPS15, AF1Q, CREBBP, SH3GL1, FNBP1, PNUTL1, MSF, GPHN, GMPS, SSH3BP1, ARHGEF12, GAS7, FOXO3A, LAF4, LCX, SEPT6, LPP, CBFA2T1, GRAF, EP300, PICALM, HEAB"		
MLL2	myeloid/lymphoid or mixed-lineage leukemia 2	8085	12	12q12-q14	yes		"medulloblastoma, renal"			"O, E"	Rec	"N, F, Mis"			
MLL3	myeloid/lymphoid or mixed-lineage leukemia 3	58508	7	7q36.1	yes		medulloblastoma			O	Rec	N			
MLLT1	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1 (ENL)"	4298	19	19p13.3 	yes		AL			L	Dom	T	MLL		
MLLT10	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10 (AF10)"	8028	10	10p12 	yes		AL			L	Dom	T	"MLL, PICALM, CDK6"		
MLLT2	" myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 2 (AF4)"	4299	4	4q21 	yes		AL			L	Dom	T	MLL		
MLLT3	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3 (AF9)"	4300	9	9p22 	yes		ALL			L	Dom	T	MLL		
MLLT4	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4 (AF6)"	4301	6	6q27 	yes		AL			L	Dom	T	MLL		
MLLT6	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6 (AF17)"	4302	17	17q21	yes		AL			L	Dom	T	MLL		
MLLT7	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 7 (AFX1)"	4303	X	Xq13.1 	yes		AL			L	Dom	T	MLL		
MN1	meningioma (disrupted in balanced translocation) 1	4330	22	22q13	yes		"AML, meningioma"			"L, O"	Dom	T	ETV6		
MPL	"myeloproliferative leukemia virus oncogene, thrombopoietin receptor"	4352	1	p34	yes	yes	MPD	MPD	Familial essential thrombocythemia	L	Dom	Mis		yes	congenital amegakaryocytic thrombocytopenia
MSF	MLL septin-like fusion	10801	17	 17q25	yes		AML*			L	Dom	T	MLL		
MSH2	mutS homolog 2 (E. coli)	4436	2	2p22-p21	yes	yes	"colorectal, endometrial, ovarian"	"colorectal, endometrial, ovarian"	Hereditary non-polyposis colorectal cancer	E	Rec	"D, Mis, N, F, S"			
MSH6	mutS homolog 6 (E. coli)	2956	2	2p16	yes	yes	colorectal	"colorectal, endometrial, ovarian"	Hereditary non-polyposis colorectal cancer	E	Rec	"Mis, N, F, S"			
MSI2	musashi homolog 2 (Drosophila)	124540	17	17q23.2	yes		CML			L	Dom	T	HOXA9		
MSN	moesin	4478	X	Xq11.2-q12	yes		ALCL			L	Dom	T	ALK		
MTCP1	mature T-cell proliferation 1	4515	X	Xq28	yes		T cell prolymphocytic leukemia			L	Dom	T	TRA@		
MUC1	"mucin 1, transmembrane"	4582	1	1q21	yes		B-NHL			L	Dom	T	IGH@		
MUTYH	mutY homolog (E. coli)	4595	1	1p34.3-1p32.1 		yes		colorectal	Adenomatous polyposis coli	E	Rec	Mis			
MYB	v-myb myeloblastosis viral oncogene homolog	4602	6	6q22-23	yes		adenoid cystic carcinoma			E	Dom	T	NFIB		
MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	4609	8	8q24.12-q24.13 	yes		"Burkitt lymphoma,  amplified in other cancers, B-CLL"			"L, E"	Dom	"A, T"	"IGK@, BCL5, BCL7A , BTG1, TRA@, IGH@"		
MYCL1	"v-myc myelocytomatosis viral oncogene homolog 1, lung carcinoma derived (avian)"	4610	1	1p34.3 	yes		small cell lung 			E	Dom	A			
MYCN	"v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)"	4613	2	2p24.1 	yes		neuroblastoma			O	Dom	A			
MYD88	myeloid differentiation primary response gene (88)	4615	3	3p22	yes		ABC-DLBCL			L	Dom	Mis 			
MYH11	"myosin, heavy polypeptide 11, smooth muscle"	4629	16	16p13.13-p13.12 	yes		AML			L	Dom	T	CBFB		
MYH9	"myosin, heavy polypeptide 9, non-muscle"	4627	22	22q13.1	yes		ALCL			L	Dom	T	ALK	yes	"Deafness, autosomal dominant 17, Epstein syndrome, Fechtner syndrome, May-Hegglin anomaly, Sebastian syndrome"
MYST4	MYST histone acetyltransferase (monocytic leukemia) 4 (MORF)	23522	10	10q22 	yes		AML			L	Dom	T	CREBBP		
NACA	nascent-polypeptide-associated complex alpha polypeptide	4666	12	12q23-q24.1 	yes		NHL			L	Dom	T	BCL6		
NBS1	Nijmegen breakage syndrome 1 (nibrin)	4683	8	8q21		yes		"NHL, glioma, medulloblastoma, rhabdomyosarcoma"	Nijmegen breakage syndrome 	"L, E, M, O"	Rec	"Mis, N, F"			
NCOA1	nuclear receptor coactivator 1	8648	2	2p23	yes		alveolar rhadomyosarcoma			M	Dom	T	PAX3		
NCOA2	nuclear receptor coactivator 2 (TIF2)	10499	8	8q13.1	yes		AML			L	Dom	T	RUNXBP2		
NCOA4	nuclear receptor coactivator 4 - PTC3 (ELE1)	8031	10	10q11.2 	yes		papillary thyroid 			E	Dom	T	RET		
NDRG1	N-myc downstream regulated 1	10397	8	8q24.3	yes		prostate			E	Dom	T	ERG		
NF1	neurofibromatosis type 1 gene	4763	17	17q12	yes	yes	"neurofibroma, glioma"	"neurofibroma, glioma"	Neurofibromatosis type 1	O	Rec	"D, Mis, N, F, S, O"			
NF2	neurofibromatosis type 2 gene	4771	22	22q12.2 	yes	yes	"meningioma, acoustic neuroma, renal "	"meningioma, acoustic neuroma"	Neurofibromatosis type 2	O	Rec	"D, Mis, N, F, S, O"			
NFE2L2	nuclear factor (erythroid-derived 2)-like 2 (NRF2)	4780	2	2q31	yes		"NSCLC, HNSCC"			E	Dom	Mis			
NFIB	nuclear factor I/B	4781	9	9p24.1	yes		"adenoid cystic carcinoma, lipoma"			E	Dom	T	"MYB, HGMA2"		
NFKB2	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	4791	10	10q24	yes		B-NHL			L	Dom	T	IGH@		
NIN	ninein (GSK3B interacting protein)	51199	14	14q24	yes		MPD			L	Dom	T	PDGFRB		
NKX2-1	NK2 homeobox 1	7080	14	14q13	yes		NSCLC			E	Dom	A			
NONO	"non-POU domain containing, octamer-binding"	4841	X	Xq13.1	yes		papillary renal cancer			E	Dom	T	TFE3		
NOTCH1	"Notch homolog 1, translocation-associated (Drosophila) (TAN1)"	4851	9	 9q34.3 	yes		T-ALL			L	Dom	"T, Mis, O"	TRB@		
NOTCH2	Notch homolog 2	4853	1	1p13-p11	yes		"marginal zone lymphoma, DLBCL"			L	Dom	"N, F, Mis"			
NPM1	"nucleophosmin (nucleolar phosphoprotein B23, numatrin)"	4869	5	5q35	yes		"NHL, APL, AML"			L	Dom	"T, F "	"ALK, RARA, MLF1"		
NR4A3	"nuclear receptor subfamily 4, group A, member 3 (NOR1)"	8013	9	9q22 	yes		extraskeletal myxoid chondrosarcoma			M	Dom	T	EWSR1		
NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	4893	1	1p13.2 	yes		"melanoma, MM, AML, thyroid"			"L, E"	Dom	Mis			
NSD1	nuclear receptor binding SET domain protein 1	64324	5	5q35 	yes		AML			L	Dom	T	NUP98	yes	Sotos Syndrome
NTRK1	"neurotrophic tyrosine kinase, receptor, type 1"	4914	1	1q21-q22 	yes		papillary thyroid			E	Dom	T	"TPM3, TPR, TFG"		
NTRK3	"neurotrophic tyrosine kinase, receptor, type 3"	4916	15	15q25 	yes		"congenital fibrosarcoma, Secretory breast "			"E, M"	Dom	T	ETV6		
NUMA1	nuclear mitotic apparatus protein 1	4926	11	11q13	yes		APL			L	Dom	T	RARA		
NUP214	nucleoporin 214kDa (CAN)	8021	9	9q34.1	yes		"AML, T-ALL"			L	Dom	T	"DEK, SET, ABL1"		
NUP98	nucleoporin 98kDa	4928	11	11p15 	yes		AML			L	Dom	T	"HOXA9, NSD1, WHSC1L1, DDX10, TOP1, HOXD13, PMX1, HOXA13, HOXD11, HOXA11, RAP1GDS1, HOXC11"		
NUT	nuclear protien in testis	256646	15	q13	yes		lethal midline carcinoma of young people			E	Dom	T	"BRD4, BRD3"		
OLIG2	oligodendrocyte lineage transcription factor 2 (BHLHB1)	10215	21	21q22.11	yes		T-ALL			L	Dom	T	TRA@		
OMD	osteomodulin	4958	9	9q22.31	yes		aneurysmal bone cysts			M	Dom	T	USP6		
P2RY8	"purinergic receptor P2Y, G-protein coupled, 8"	286530	"X,Y"	Xp22.3; Yp11.3	yes		"B-ALL, Downs associated ALL"			L	Dom	T	CRLF2		
PAFAH1B2	"platelet-activating factor acetylhydrolase, isoform Ib, beta subunit 30kDa"	5049	11	11q23	yes		MLCLS			L	Dom	T	IGH@		
PALB2	partner and localizer of BRCA2	79728	16	16p12.1		yes		"Wilms tumor, medulloblastoma, AML ,breast"	"Fanconi anaemia N, breast cancer susceptibility "	"L, O, E"	Rec	"F, N, Mis"			
PAX3	paired box gene 3 	5077	2	2q35	yes		alveolar rhabdomyosarcoma			M	Dom	T	"FOXO1A, NCOA1"	yes	Waardenburg syndrome; craniofacial-deafness-hand syndrome
PAX5	paired box gene 5 (B-cell lineage specific activator protein)	5079	9	9p13	yes		"NHL, ALL, B-ALL"			L	Dom	"T, Mis, D, F, S"	"IGH@, ETV6, PML, FOXP1, ZNF521, ELN"		
PAX7	paired box gene 7	5081	1	1p36.2-p36.12 	yes		alveolar rhabdomyosarcoma			M	Dom	T	FOXO1A		
PAX8	paired box gene 8	7849	2	2q12-q14 	yes		follicular thyroid			E	Dom	T	PPARG	yes	Thyroid dysgenesis 
PBRM1	polybromo 1	55193	3	3p21	yes		"clear cell renal carcinoma, breast"			E	Rec	"Mis, N, F, S, D, O"			
PBX1	pre-B-cell leukemia transcription factor 1	5087	1	1q23 	yes		"pre B-ALL, myoepithelioma"			"L, M"	Dom	T	"TCF3, EWSR1"		
PCM1	pericentriolar material 1  (PTC4)	5108	8	8p22-p21.3 	yes		"papillary thyroid, CML, MPD"			"E, L"	Dom	T	"RET, JAK2"		
PCSK7	proprotein convertase subtilisin/kexin type 7	9159	11	11q23.3	yes		MLCLS			L	Dom	T	IGH@		
PDE4DIP	phosphodiesterase 4D interacting protein (myomegalin)	9659	1	1q12	yes		MPD			L	Dom	T	PDGFRB		
PDGFB	platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog)	5155	22	22q12.3-q13.1	yes		DFSP			M	Dom	T	COL1A1		
PDGFRA	"platelet-derived growth factor, alpha-receptor"	5156	4	4q11-q13	yes		"GIST, idiopathic hypereosinophilic syndrome"			"L, M, O"	Dom	"Mis, O, T"	FIP1L1		
PDGFRB	"platelet-derived growth factor receptor, beta polypeptide"	5159	5	5q31-q32 	yes		"MPD, AML, CMML, CML"			L	Dom	T	"ETV6, TRIP11, HIP1, RAB5EP, H4, NIN, HCMOGT-1, PDE4DIP"		
PER1	period homolog 1 (Drosophila)	5187	17	17p13.1-17p12	yes		"AML, CMML"			L	Dom	T	ETV6		
PHOX2B	paired-like homeobox 2b	8929	4	4p12	yes	yes	neuroblastoma	neuroblastoma	familial neuroblastoma	O	Rec	"Mis, F"		yes	congenital central hypoventilation syndrome
PICALM	phosphatidylinositol binding clathrin assembly protein (CALM)	8301	11	11q14 	yes		"TALL, AML, "			L	Dom	T	"MLLT10, MLL"		
PIK3CA	"phosphoinositide-3-kinase, catalytic, alpha polypeptide"	5290	3	3q26.3	yes		"colorectal, gastric, gliobastoma, breast"			"E, O"	Dom	Mis			
PIK3R1	"phosphoinositide-3-kinase, regulatory subunit 1 (alpha)"	5295	5	5q13.1	yes		"gliobastoma, ovarian, colorectal"			"E, O"	Rec	"Mis, F, O"			
PIM1	pim-1 oncogene	5292	6	6p21.2 	yes		NHL			L	Dom	T	BCL6		
PLAG1	pleiomorphic adenoma gene 1	5324	8	8q12	yes		salivary adenoma			E	Dom	T	"TCEA1, LIFR, CTNNB1, CHCHD7"		
PML	promyelocytic leukemia	5371	15	15q22 	yes		"APL, ALL"			L	Dom	T	"RARA, PAX5"		
PMS1	PMS1 postmeiotic segregation increased 1 (S. cerevisiae)	5378	2	2q31-q33 		yes		"colorectal, endometrial, ovarian"	Hereditary non-polyposis colorectal cancer	E	Rec	"Mis, N"			
PMS2	PMS2 postmeiotic segregation increased 2 (S. cerevisiae)	5395	7	7p22 		yes		"colorectal, endometrial, ovarian, medulloblastoma, glioma"	"Hereditary non-polyposis colorectal cancer, Turcot syndrome"	E	Rec	"Mis, N, F"			
PMX1	paired mesoderm homeo box 1	5396	1	1q24 	yes		AML			L	Dom	T	NUP98		
PNUTL1	peanut-like 1 (Drosophila)	5413	22	22q11.2 	yes		AML			L	Dom	T	MLL		
POU2AF1	"POU domain, class 2, associating factor 1 (OBF1)"	5450	11	11q23.1 	yes		NHL			L	Dom	T	BCL6		
POU5F1	"POU domain, class 5, transcription factor 1"	5460	6	6p21.31	yes		sarcoma			M	Dom	T	EWSR1		
PPARG	"peroxisome proliferative activated receptor, gamma"	5468	3	 3p25 	yes		follicular thyroid			E	Dom	T	PAX8	yes	"Insulin resistance ; lipodystrophy, familial partial L;diabetes mellitus, insulin-resistantI, with acanthosis nigricans and hypertension"
PPP2R1A	"protein phosphatase 2, regulatory subunit A, alpha"	5518	19	19q13.41	yes		clear cell ovarian carcinoma			E	Dom?	Mis			
PRCC	papillary renal cell carcinoma (translocation-associated)	5546	1	1q21.1	yes		papillary renal 			E	Dom	T	TFE3		
PRDM1	"PR domain containing 1, with ZNF domain"	639	6	6q21	yes		DLBCL			L	Rec	"D, N, Mis, F, S"			
PRDM16	PR domain containing 16	63976	1	1p36.23-p33	yes		"MDS, AML"			L	Dom	T	EVI1		
PRF1	perforin 1 (pore forming protein)	5551	10	10q22		yes		"various leukaemia, lymphoma"		L	Rec	M			Type 2 familial hemophagocytic lymphohistiocytosis
PRKAR1A	"protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)"	5573	17	17q23-q24	yes	yes	papillary thyroid	"myxoma, endocrine, papillary thyroid"	Carney complex	"E, M"	"Dom, Rec"	"T, Mis, N, F, S"	RET		
PRO1073	PRO1073 protein (ALPHA) 	378938	11	11q31.1	yes		renal cell carcinoma (childhood epithelioid)			E	Dom	T	TFEB		
PSIP2	PC4 and SFRS1 interacting protein 2 (LEDGF)	11168	9	9p22.2	yes		AML			L	Dom	T	NUP98		
PTCH	Homolog of Drosophila Patched gene	5727	9	9q22.3	yes	yes	"skin basal cell , medulloblastoma"	"skin basal cell, medulloblastoma"	Nevoid Basal Cell Carcinoma Syndrome	"E, M"	Rec	"Mis, N, F, S"			
PTEN	phosphatase and tensin homolog gene	5728	10	10q23.3	yes	yes	"glioma,  prostate, endometrial"	"harmartoma, glioma,  prostate, endometrial"	"Cowden Syndrome, Bannayan-Riley-Ruvalcaba syndrome"	"L, E, M, O"	Rec	"D, Mis, N, F, S"			
PTPN11	"protein tyrosine phosphatase, non-receptor type 11"	5781	12	12q24.1	yes		"JMML, AML, MDS"			L	Dom	Mis		yes	Noonan Syndrome
RAB5EP	"rabaptin, RAB GTPase binding effector protein 1 (RABPT5)"	9135	17	17p13	yes		CMML			L	Dom	T	PDGFRB		
RAD51L1	RAD51-like 1 (S. cerevisiae) (RAD51B)	5890	14	14q23-q24.2	yes		"lipoma, uterine leiomyoma"			M	Dom	T	HMGA2		
RAF1	v-raf-1 murine leukemia viral oncogene homolog 1	5894	3	3p25	yes		pilocytic astrocytoma			M	Dom	T	SRGAP3		
RALGDS	ral guanine nucleotide dissociation stimulator	5900	9	9q34.3	yes		"PMBL, Hodgkin Lymphona, "			L	Dom	T	CIITA		
RANBP17	RAN binding protein 17	64901	5	5q34	yes		ALL			L	Dom	T	TRD@		
RAP1GDS1	"RAP1, GTP-GDP dissociation stimulator 1"	5910	4	4q21-q25	yes		T-ALL			L	Dom	T	NUP98		
RARA	"retinoic acid receptor, alpha"	5914	17	 17q12 	yes		APL			L	Dom	T	"PML, ZNF145, TIF1, NUMA1, NPM1"		
